baronTakedowns,bountyGold,buffsStolen,completeSupportQuestInTime,controlWardTimeCoverageInRiverOrEnemyHalf,controlWardsPlaced,damagePerMinute,damageTakenOnTeamPercentage,deathsByEnemyChamps,dragonTakedowns,earlyLaningPhaseGoldExpAdvantage,effectiveHealAndShielding,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsWithin30SecondsOfSpawn,firstTurretKilled,gameLength,goldPerMinute,highestCrowdControlScore,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,kTurretsDestroyedBeforePlatesFall,kda,killParticipation,killedChampTookFullTeamDamageSurvived,killingSprees,killsUnderOwnTurret,laneMinionsFirst10Minutes,laningPhaseGoldExpAdvantage,legendaryCount,maxCsAdvantageOnLaneOpponent,maxKillDeficit,maxLevelLeadLaneOpponent,mejaisFullStackInTime,multiKillOneSpell,multiTurretRiftHeraldCount,mythicItemUsed,outerTurretExecutesBefore10Minutes,riftHeraldTakedowns,scuttleCrabKills,soloKills,stealthWardsPlaced,takedownOnFirstTurret,takedowns,takedownsAfterGainingLevelAdvantage,takedownsBeforeJungleMinionSpawn,teamBaronKills,teamDamagePercentage,teamElderDragonKills,teamRiftHeraldKills,turretPlatesTaken,turretTakedowns,turretsTakenWithRiftHerald,unseenRecalls,visionScoreAdvantageLaneOpponent,visionScorePerMinute,wardTakedowns,wardTakedownsBefore20M,wardsGuarded,gameId,summonerName,earliestDragonTakedown,highestWardKills,junglerKillsEarlyJungle,killsOnLanersEarlyJungleAsJungler,mythicItemUsedImg,earliestBaron,teleportTakedowns,fasterSupportQuestCompletion,baronBuffGoldAdvantageOverThreshold
0.0,0.0,0.0,0.0,0.6272152065620233,6.0,833.1315987555769,0.2443994668486673,3.0,1.0,0.0,0.0,0.0,1.0,0.0,898.8779562,1872.4099632999998,496.6737066683713,-,0.0,0.0,0.0,0.0,1.6666666666666667,0.3125,0.0,1.0,0.0,100.0,0.0,0.0,116.00000002980232,4.0,2.0,0.0,0.0,0.0,Criafendas,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0,0.30271012558553945,0.0,1.0,3.0,7.0,0.0,0.0,0.39948105812072754,1.3368368778820017,8.0,3.0,0.0,2677229,BLG Bin,1396.9739872,-,-,-,https://raw.communitydragon.org/latest/game/assets/items/icons2d/4633_mage_t4_riftmaker.png,1529.0359704,1.0,-,
1.0,0.0,1.0,0.0,0.8039040531738662,8.0,429.01311851826335,0.29877961500528283,4.0,4.0,0.0,224.739990234375,51.0,13.0,2.0,898.8779562,1872.4099632999998,365.13610056384283,1.0,1.0,1.0,56.80000004172325,0.0,3.5,0.875,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,Virtude Radiante,0.0,1.0,5.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.15587767308128175,0.0,1.0,2.0,5.0,0.0,0.0,-0.3445886969566345,1.1754460935733,4.0,2.0,1.0,2677229,BLG XUN,732.1129543999999,-,-,-,https://raw.communitydragon.org/latest/game/assets/items/icons2d/6667_tank_t4_radiantvirtue.png,1529.0359704,-,-,
1.0,375.0,1.0,0.0,0.750201612751694,6.0,704.8345627720042,0.15862843444101132,2.0,2.0,0.0,0.0,6.0,1.0,0.0,898.8779562,1872.4099632999998,437.1900387307665,-,0.0,0.0,0.0,0.0,6.0,0.75,2.0,1.0,2.0,84.0,0.0,0.0,43.79999986290932,4.0,3.0,0.0,0.0,0.0,Eclipse,0.0,0.0,0.0,0.0,5.0,1.0,12.0,0.0,0.0,1.0,0.2560946665958083,0.0,1.0,0.0,8.0,0.0,0.0,-0.5157878398895264,1.1656406787178009,5.0,3.0,0.0,2677229,BLG Yagao,1051.3539529,-,-,-,https://raw.communitydragon.org/latest/game/assets/items/icons2d/6692_assassin_t4_eclipse.png,1529.0359704,-,-,
1.0,0.0,0.0,0.0,0.123265182531514,2.0,612.2659428397948,0.14798507353919657,2.0,2.0,0.0,0.0,2.0,0.0,0.0,898.8779562,1872.4099632999998,453.1815661736818,-,0.0,0.0,0.0,0.0,5.5,0.6875,0.0,1.0,0.0,69.0,0.0,0.0,71.00000005960464,4.0,1.0,0.0,0.0,0.0,Força do Vendaval,0.0,0.0,0.0,0.0,5.0,0.0,11.0,0.0,0.0,1.0,0.22246077417495427,0.0,1.0,2.0,6.0,0.0,0.0,0.31419551372528076,1.1505227496240669,12.0,3.0,0.0,2677229,BLG Elk,1051.3539529,-,-,-,https://raw.communitydragon.org/latest/game/assets/items/icons2d/6671_marksman_t4_galeforce.png,1529.0359704,-,-,
0.0,0.0,0.0,1.0,0.7013191734921377,14.0,172.99703245362454,0.15020741016584194,0.0,1.0,0.0,4834.3359375,16.0,0.0,0.0,898.8779562,1872.4099632999998,287.27567283568624,-,0.0,0.0,0.0,0.0,15.0,0.9375,0.0,0.0,0.0,19.0,0.0,0.0,39.0,4.0,2.0,0.0,0.0,0.0,Hino Bélico de Shurelya,0.0,0.0,0.0,0.0,36.0,0.0,15.0,0.0,0.0,1.0,0.06285676056241622,0.0,1.0,0.0,4.0,0.0,0.0,0.6001888513565063,4.4365204903185385,24.0,12.0,3.0,2677229,BLG ON,1712.1849902,-,0.0,0.0,https://raw.communitydragon.org/latest/game/assets/items/icons2d/2065_tank_t4_shurelyasbattlesong.png,1529.0359704,-,1.0,
0.0,300.0,1.0,0.0,0.21496360913964585,6.0,358.2876091302948,0.31933185891932214,3.0,0.0,0.0,1638.016357421875,20.0,1.0,0.0,-,1872.4099632999998,331.3105630592913,-,1.0,0.0,4.0,0.0,2.3333333333333335,0.6363636363636364,0.0,0.0,1.0,66.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Virtude Radiante,0.0,1.0,0.0,0.0,9.0,0.0,7.0,0.0,0.0,0.0,0.1861435172991327,0.0,1.0,1.0,0.0,0.0,1.0,-0.28544944524765015,0.9552375499513387,4.0,0.0,4.0,2677229,JDG 369,-,-,-,-,https://raw.communitydragon.org/latest/game/assets/items/icons2d/6667_tank_t4_radiantvirtue.png,-,-,-,
0.0,0.0,2.0,0.0,0.8099273161990871,7.0,334.7599528839519,0.2672452135954328,1.0,1.0,0.0,0.0,14.0,13.0,1.0,-,1872.4099632999998,377.0686774135582,-,2.0,1.0,59.20000010728836,0.0,7.0,0.6363636363636364,0.0,1.0,0.0,3.0,0.0,0.0,17.40000021457672,0.0,1.0,0.0,0.0,0.0,Ruptor Divino,0.0,1.0,6.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0,0.17392003935600758,0.0,1.0,0.0,0.0,0.0,0.0,1.0652105808258057,2.407293339229469,29.0,14.0,2.0,2677229,JDG Kanavi,373.30699369999996,1.0,-,-,https://raw.communitydragon.org/latest/game/assets/items/icons2d/6632_fighter_t4_divinedevourer.png,-,-,-,
0.0,0.0,0.0,0.0,0.8424533290882003,4.0,453.5952313412634,0.14013557973401708,6.0,0.0,0.0,1309.5714111328125,26.0,0.0,0.0,-,1872.4099632999998,344.5033494531235,-,0.0,0.0,0.0,0.0,0.6666666666666666,0.36363636363636365,0.0,0.0,0.0,89.0,0.0,0.0,34.0,0.0,2.0,0.0,0.0,0.0,Tormenta de Luden,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.23565931291045952,0.0,1.0,2.0,0.0,0.0,0.0,-0.23907822370529175,0.8754577902843671,11.0,6.0,0.0,2677229,JDG knight,-,-,-,-,https://raw.communitydragon.org/latest/game/assets/items/icons2d/6655_mage_t4_ludenstempest.png,-,1.0,-,
0.0,300.0,0.0,0.0,0.4334125670693071,6.0,575.9268081704936,0.1652438975543854,3.0,1.0,0.0,0.0,8.0,0.0,0.0,-,1872.4099632999998,450.7915146690888,-,0.0,0.0,0.0,0.0,2.0,0.5454545454545454,0.0,1.0,0.0,89.0,0.0,0.0,180.9999998509884,0.0,2.0,0.0,0.0,0.0,Força do Vendaval,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.29921504134610577,0.0,1.0,0.0,1.0,0.0,0.0,0.5257594585418701,1.7934479656149453,18.0,4.0,0.0,2677229,JDG Ruler,373.30699369999996,-,-,-,https://raw.communitydragon.org/latest/game/assets/items/icons2d/6671_marksman_t4_galeforce.png,-,-,-,
0.0,0.0,0.0,1.0,0.8764106167261816,15.0,202.22270028983937,0.10804345019684257,3.0,1.0,0.0,5620.4736328125,4.0,0.0,0.0,-,1872.4099632999998,225.43380989856433,-,0.0,0.0,0.0,0.0,3.0,0.8181818181818182,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Hino Bélico de Shurelya,0.0,1.0,0.0,0.0,36.0,0.0,9.0,0.0,0.0,0.0,0.10506208908829441,0.0,1.0,1.0,1.0,0.0,0.0,-0.37507379055023193,2.7724980110769537,15.0,9.0,0.0,2677229,JDG MISSING,373.30699369999996,-,0.0,0.0,https://raw.communitydragon.org/latest/game/assets/items/icons2d/2065_tank_t4_shurelyasbattlesong.png,-,-,-,
