gameCreation,gameDuration,gameId,gameName,gameVersion,blueTeam,redTeam,win,ban1Blue,ban1BlueImg,pick1Blue,ban1Red,ban1RedImg,pick1Red,ban2Blue,ban2BlueImg,pick2Blue,ban2Red,ban2RedImg,pick2Red,ban3Blue,ban3BlueImg,pick3Blue,ban3Red,ban3RedImg,pick3Red,ban4Blue,ban4BlueImg,pick4Blue,ban4Red,ban4RedImg,pick4Red,ban5Blue,ban5BlueImg,pick5Blue,ban5Red,ban5RedImg,pick5Red,firstbaronBlue,baronBlue,firstchampionBlue,championBlue,firstdragonBlue,dragonBlue,firstinhibitorBlue,inhibitorBlue,firstriftHeraldBlue,riftHeraldBlue,firsttowerBlue,towerBlue,firstbaronRed,baronRed,firstchampionRed,championRed,firstdragonRed,dragonRed,firstinhibitorRed,inhibitorRed,firstriftHeraldRed,riftHeraldRed,firsttowerRed,towerRed
21/5/2023,25.92,2677225,110198981285524799|game1,13.8.504.1242,JDG,BLG,JDG,Lucian,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/236.png,1,KSante,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/897.png,2,Vi,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/254.png,3,Annie,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/1.png,4,Gwen,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/887.png,5,Ahri,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/103.png,6,Fiora,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/114.png,8,Sylas,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/517.png,7,Gnar,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/150.png,10,Sejuani,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/113.png,9,False,0,True,13,False,2,True,1,True,1,True,7,False,0,False,4,True,2,False,0,False,1,False,1
21/5/2023,31.2,2677229,110198981285524799|game2,13.8.504.1242,BLG,JDG,BLG,KSante,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/897.png,1,Lucian,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/236.png,2,Gragas,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/79.png,3,Vi,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/254.png,4,Ahri,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/103.png,5,Kennen,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/85.png,6,Aphelios,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/523.png,8,Khazix,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/121.png,7,Zeri,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/221.png,10,Nautilus,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/111.png,9,True,1,False,16,False,4,True,2,True,1,True,10,False,0,True,11,True,1,False,0,False,1,False,1
21/5/2023,23.87,2677230,110198981285524799|game3,13.8.504.1242,JDG,BLG,JDG,Lucian,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/236.png,1,KSante,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/897.png,2,Vi,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/254.png,3,MonkeyKing,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/62.png,4,Gwen,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/887.png,5,Jinx,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/222.png,6,Kindred,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/203.png,8,Gragas,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/79.png,7,Aphelios,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/523.png,10,Maokai,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/57.png,9,True,1,True,12,True,3,True,2,True,2,True,10,False,0,False,3,False,0,False,0,False,0,False,0
21/5/2023,22.53,2677232,110198981285524799|game4,13.8.504.1242,BLG,JDG,JDG,KSante,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/897.png,1,Lucian,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/236.png,2,MonkeyKing,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/62.png,3,Gwen,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/887.png,4,Zeri,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/221.png,5,Jinx,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/222.png,6,TahmKench,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/223.png,8,Ahri,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/103.png,7,Gragas,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/79.png,10,Kennen,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/85.png,9,False,0,False,1,False,1,False,0,True,1,False,2,True,1,True,11,True,2,True,1,False,1,True,8
