timestamp,type,gameId,summonerName,item,itemImg
16.919416666666667,ITEM_PURCHASED,2677232,BLG Elk,Capa da Agilidade,https://raw.communitydragon.org/latest/game/assets/items/icons2d/1018_base_t1_cloakagility.png
16.92945,ITEM_PURCHASED,2677232,BLG Elk,Sentinela de Controle,https://raw.communitydragon.org/latest/game/assets/items/icons2d/2055_class_t1_controlward.png
16.9339,ITEM_PURCHASED,2677232,BLG Elk,Lente do Oráculo,https://raw.communitydragon.org/latest/game/assets/items/icons2d/3364_class_t1_oracleslens.png
16.9367,ITEM_PURCHASED,2677232,BLG Elk,Alteração Vidente,https://raw.communitydragon.org/latest/game/assets/items/icons2d/3363_class_t1_farsightalteration.png
16.98,ITEM_PURCHASED,2677232,BLG Elk,Grevas do Berserker,https://raw.communitydragon.org/latest/game/assets/items/icons2d/3006_class_t2_berserkersgreaves.png
16.990033333333333,ITEM_PURCHASED,2677232,BLG Elk,Lente do Oráculo,https://raw.communitydragon.org/latest/game/assets/items/icons2d/3364_class_t1_oracleslens.png
16.993366666666667,ITEM_PURCHASED,2677232,BLG Elk,Alteração Vidente,https://raw.communitydragon.org/latest/game/assets/items/icons2d/3363_class_t1_farsightalteration.png
17.002283333333335,ITEM_PURCHASED,2677232,BLG XUN,Passos de Mercúrio,https://raw.communitydragon.org/latest/game/assets/items/icons2d/3111_class_t2_mercurystreads.png
17.0175,ITEM_PURCHASED,2677232,JDG Kanavi,Égide da Legião,https://raw.communitydragon.org/latest/game/assets/items/icons2d/3105_tank_t2_aegisofthelegion.png
17.029133333333334,ITEM_PURCHASED,2677232,JDG Kanavi,Cristal de Rubi,https://raw.communitydragon.org/latest/game/assets/items/icons2d/1028_base_t1_rubycrystal.png
17.042533333333335,ITEM_PURCHASED,2677232,JDG Kanavi,Sentinela de Controle,https://raw.communitydragon.org/latest/game/assets/items/icons2d/2055_class_t1_controlward.png
17.048633333333335,ITEM_PURCHASED,2677232,JDG Kanavi,Sentinela de Controle,https://raw.communitydragon.org/latest/game/assets/items/icons2d/2055_class_t1_controlward.png
