level,timestamp,type,gameId,summonerName
12,18.5194,LEVEL_UP,2677225,BLG Yagao
13,19.220316666666665,LEVEL_UP,2677225,JDG knight
11,20.09455,LEVEL_UP,2677225,BLG Elk
12,20.1162,LEVEL_UP,2677225,JDG Ruler
13,20.41615,LEVEL_UP,2677225,BLG Yagao
14,20.762566666666668,LEVEL_UP,2677225,JDG 369
11,20.843166666666665,LEVEL_UP,2677225,JDG Kanavi
14,20.84815,LEVEL_UP,2677225,JDG knight
13,20.922333333333334,LEVEL_UP,2677225,BLG Bin
11,21.03345,LEVEL_UP,2677225,BLG XUN
9,21.246166666666667,LEVEL_UP,2677225,BLG ON
9,22.13635,LEVEL_UP,2677225,JDG MISSING
12,22.466533333333334,LEVEL_UP,2677225,BLG Elk
13,22.558916666666665,LEVEL_UP,2677225,JDG Ruler
15,22.885366666666666,LEVEL_UP,2677225,JDG 369
14,22.907683333333335,LEVEL_UP,2677225,BLG Yagao
12,23.439383333333332,LEVEL_UP,2677225,JDG Kanavi
10,23.66505,LEVEL_UP,2677225,BLG ON
12,23.687283333333333,LEVEL_UP,2677225,BLG XUN
15,23.823266666666665,LEVEL_UP,2677225,JDG knight
14,23.91505,LEVEL_UP,2677225,BLG Bin
14,25.0533,LEVEL_UP,2677225,JDG Ruler
10,25.190133333333332,LEVEL_UP,2677225,JDG MISSING
16,25.67165,LEVEL_UP,2677225,JDG 369
2,1.7368166666666667,LEVEL_UP,2677229,JDG Kanavi
2,1.79905,LEVEL_UP,2677229,BLG XUN
2,2.0764833333333335,LEVEL_UP,2677229,JDG knight
2,2.1088,LEVEL_UP,2677229,BLG Yagao
2,2.11045,LEVEL_UP,2677229,BLG Bin
2,2.2138166666666668,LEVEL_UP,2677229,JDG Ruler
2,2.6085166666666666,LEVEL_UP,2677229,JDG 369
3,2.66805,LEVEL_UP,2677229,JDG knight
2,2.7636,LEVEL_UP,2677229,BLG Elk
3,2.8030833333333334,LEVEL_UP,2677229,BLG Yagao
3,2.8775,LEVEL_UP,2677229,JDG Ruler
3,2.8836166666666667,LEVEL_UP,2677229,BLG Bin
2,2.9303166666666667,LEVEL_UP,2677229,BLG ON
3,3.0038833333333335,LEVEL_UP,2677229,JDG Kanavi
4,3.2232,LEVEL_UP,2677229,JDG knight
3,3.3198,LEVEL_UP,2677229,JDG 369
4,3.3744,LEVEL_UP,2677229,BLG Yagao
4,3.427783333333333,LEVEL_UP,2677229,BLG Bin
3,3.7447333333333335,LEVEL_UP,2677229,BLG Elk
3,4.017083333333333,LEVEL_UP,2677229,BLG XUN
4,4.098833333333333,LEVEL_UP,2677229,JDG 369
2,4.1973,LEVEL_UP,2677229,JDG MISSING
4,4.242883333333333,LEVEL_UP,2677229,JDG Ruler
5,4.3625,LEVEL_UP,2677229,JDG knight
5,4.376966666666666,LEVEL_UP,2677229,BLG Yagao
