bounty,killStreakLength,shutdownBounty,timestamp,type,gameId,positionX,positionY,victim,killer,assistant1,assistant2,assistant3,assistant4,assistant5
300,2,0,30.680666666666667,CHAMPION_KILL,2677229,9138,14014,JDG knight,BLG XUN,BLG Yagao,BLG Elk,BLG ON,-,-
300,1,100,30.710883333333335,CHAMPION_KILL,2677229,8262,14004,JDG Kanavi,BLG Bin,BLG XUN,BLG Yagao,BLG Elk,BLG ON,
300,2,0,30.792566666666666,CHAMPION_KILL,2677229,9391,13557,JDG 369,BLG Bin,BLG XUN,BLG Yagao,BLG Elk,BLG ON,
300,0,0,30.823666666666668,CHAMPION_KILL,2677229,10538,13506,JDG MISSING,BLG Elk,BLG XUN,BLG Yagao,BLG ON,-,-
300,0,400,30.866183333333332,CHAMPION_KILL,2677229,10262,12714,BLG Yagao,JDG 369,JDG Kanavi,JDG knight,JDG MISSING,-,-
400,0,0,6.431766666666666,CHAMPION_KILL,2677230,13667,3183,BLG Elk,JDG Ruler,JDG Kanavi,JDG MISSING,-,-,-
300,1,0,8.8595,CHAMPION_KILL,2677230,7141,7768,BLG ON,JDG Ruler,JDG MISSING,-,-,-,-
300,0,0,8.91025,CHAMPION_KILL,2677230,7777,7987,JDG MISSING,BLG Yagao,BLG Elk,BLG ON,-,-,-
274,0,0,9.996616666666666,CHAMPION_KILL,2677230,4920,7604,JDG MISSING,BLG XUN,BLG Yagao,-,-,-,-
300,0,0,10.0566,CHAMPION_KILL,2677230,4739,7129,BLG XUN,JDG knight,JDG Kanavi,JDG MISSING,-,-,-
300,1,0,13.103266666666666,CHAMPION_KILL,2677230,7467,7777,BLG Yagao,JDG knight,JDG Kanavi,-,-,-,-
274,0,0,17.343766666666667,CHAMPION_KILL,2677230,5565,6388,JDG MISSING,BLG ON,BLG XUN,-,-,-,-
300,2,0,18.40315,CHAMPION_KILL,2677230,7874,14050,BLG Yagao,JDG knight,JDG Kanavi,JDG Ruler,-,-,-
300,0,0,19.34655,CHAMPION_KILL,2677230,11166,6044,BLG XUN,JDG Kanavi,JDG 369,JDG knight,-,-,-
