currentGold,goldPerSecond,jungleMinionsKilled,level,minionsKilled,participantId,timeEnemySpentControlled,totalGold,xp,summonerName,timestamp,gameId,abilityHaste,abilityPower,armor,armorPen,armorPenPercent,attackDamage,attackSpeed,bonusArmorPenPercent,bonusMagicPenPercent,ccReduction,cooldownReduction,health,healthMax,healthRegen,lifesteal,magicPen,magicPenPercent,magicResist,movementSpeed,omnivamp,physicalVamp,power,powerMax,powerRegen,spellVamp,magicDamageDone,magicDamageDoneToChampions,magicDamageTaken,physicalDamageDone,physicalDamageDoneToChampions,physicalDamageTaken,totalDamageDone,totalDamageDoneToChampions,totalDamageTaken,trueDamageDone,trueDamageDoneToChampions,trueDamageTaken,positionX,positionY
43,20,0,1,0,10,0,543,131,BLG ON,2.0004666666666666,2677225,0,26,35,0,0,47,100,0,0,0,0,590,605,12,0,0,0,30,330,0,0,274,375,27,0,163,87,0,235,0,26,398,87,26,0,0,0,13080,2266
106,0,4,2,0,2,36382,606,311,JDG Kanavi,2.0004666666666666,2677225,0,0,42,0,0,63,110,0,0,5,0,396,740,17,0,0,0,41,325,0,0,261,433,64,0,2056,0,0,1438,0,793,5085,0,793,1590,0,0,7482,3304
120,0,0,2,6,3,10164,620,288,JDG knight,2.0004666666666666,2677225,0,0,25,0,0,73,102,0,0,0,0,599,748,38,0,0,0,38,335,0,0,243,457,13,0,59,31,139,1380,189,94,1440,221,234,0,0,0,6274,9045
87,0,0,1,3,4,0,587,131,JDG Ruler,2.0004666666666666,2677225,0,0,32,0,0,73,108,0,0,0,0,553,630,7,0,0,0,30,325,0,0,226,260,13,0,0,0,0,1229,0,112,1229,0,112,0,0,0,12218,2009
54,20,0,1,2,5,0,559,143,JDG MISSING,2.0004666666666666,2677225,0,14,36,0,0,62,100,0,0,10,0,510,640,23,0,0,0,40,335,0,0,283,315,17,0,0,0,87,65,0,71,353,0,159,288,0,0,12063,2093
63,0,0,1,2,6,0,563,185,BLG Bin,2.0004666666666666,2677225,0,0,36,0,0,73,120,0,0,8,0,650,752,41,0,0,0,40,350,0,0,286,339,15,0,19,19,137,650,101,64,670,121,202,0,0,0,1834,12239
96,0,4,2,0,7,16289,596,300,BLG XUN,2.0004666666666666,2677225,0,9,48,0,0,66,101,0,0,0,0,429,713,11,0,0,0,33,335,0,0,228,405,66,0,3138,0,0,1186,0,732,5473,0,732,1149,0,0,7450,11795
120,0,0,1,6,8,0,620,276,BLG Yagao,2.0004666666666666,2677225,0,24,31,0,0,54,110,0,0,0,0,402,633,13,0,0,0,30,330,0,0,447,505,16,0,573,139,31,1029,85,235,1603,225,267,0,0,0,8158,8037
85,0,0,1,3,9,0,585,131,BLG Elk,2.0004666666666666,2677225,0,0,32,0,0,74,110,0,0,0,0,568,580,6,0,0,0,30,325,0,0,348,348,13,0,37,0,0,777,183,24,815,183,24,0,0,0,12658,3028
353,0,0,3,12,1,29233,853,688,JDG 369,3.0005,2677225,0,39,51,0,0,69,103,0,0,0,0,751,900,12,0,0,0,35,330,0,0,141,594,14,0,1878,684,167,1437,94,372,3316,778,539,0,0,0,1725,11754
