gameTime,buildingType,lane,turretTier,gameId,positionX,positionY,killerTeam,buildingTeam,assistant1,assistant2,assistant3,assistant4,assistant5,killer
1414248,turret,mid,nexus,2677230,13052,12612,JDG,BLG,JDG Ruler,JDG MISSING,JDG knight,JDG 369,-,JDG Kanavi
1418454,turret,mid,nexus,2677230,12611,13084,JDG,BLG,JDG MISSING,JDG knight,JDG Kanavi,JDG 369,-,JDG Ruler
302382,turretPlate,bot,outer,2677232,10504,1029,JDG,BLG,-,-,-,-,-,JDG MISSING
482757,turretPlate,bot,outer,2677232,10504,1029,JDG,BLG,-,-,-,-,-,JDG Ruler
507484,turretPlate,top,outer,2677232,4318,13875,BLG,JDG,-,-,-,-,-,
532431,turretPlate,mid,outer,2677232,5846,6396,JDG,BLG,-,-,-,-,-,
653661,turretPlate,bot,outer,2677232,13866,4505,BLG,JDG,-,-,-,-,-,
663974,turretPlate,top,outer,2677232,981,10441,JDG,BLG,-,-,-,-,-,JDG 369
666919,turretPlate,bot,outer,2677232,13866,4505,BLG,JDG,-,-,-,-,-,BLG XUN
705755,turretPlate,mid,outer,2677232,5846,6396,JDG,BLG,-,-,-,-,-,
718052,turretPlate,bot,outer,2677232,13866,4505,BLG,JDG,-,-,-,-,-,
775421,turretPlate,bot,outer,2677232,10504,1029,JDG,BLG,-,-,-,-,-,JDG knight
796039,turretPlate,bot,outer,2677232,10504,1029,JDG,BLG,-,-,-,-,-,
799978,turretPlate,top,outer,2677232,4318,13875,BLG,JDG,-,-,-,-,-,
802910,turretPlate,mid,outer,2677232,5846,6396,JDG,BLG,-,-,-,-,-,
883277,turret,bot,outer,2677232,10504,1029,JDG,BLG,-,-,-,-,-,JDG knight
1061207,turret,mid,outer,2677232,5846,6396,JDG,BLG,JDG Ruler,-,-,-,-,JDG Kanavi
1109843,turret,top,outer,2677232,981,10441,JDG,BLG,-,-,-,-,-,JDG knight
1143455,turret,bot,outer,2677232,13866,4505,BLG,JDG,-,-,-,-,-,BLG Bin
1248754,turret,mid,inner,2677232,5048,4812,JDG,BLG,-,-,-,-,-,
1286826,turret,top,outer,2677232,4318,13875,BLG,JDG,-,-,-,-,-,BLG Yagao
1294672,turret,bot,inner,2677232,6919,1483,JDG,BLG,JDG MISSING,JDG knight,JDG Kanavi,-,-,JDG Ruler
1308676,turret,bot,base,2677232,4281,1253,JDG,BLG,JDG Ruler,-,-,-,-,JDG knight
1322275,inhibitor,bot,,2677232,3454,1241,JDG,BLG,JDG Ruler,JDG MISSING,JDG Kanavi,-,-,JDG knight
1330401,turret,mid,nexus,2677232,2177,1807,JDG,BLG,JDG MISSING,JDG knight,JDG Kanavi,-,-,JDG Ruler
1341471,turret,mid,nexus,2677232,1748,2270,JDG,BLG,JDG Ruler,JDG knight,JDG 369,-,-,
