gameTime,gameId,positionX,positionY,killType,killer,victim,assistant1,assistant2,assistant3,assistant4,assistant5
1171675,2677230,11576,7972,-,JDG knight,BLG ON,JDG Ruler,JDG MISSING,JDG Kanavi,-,-
1175469,2677230,13682,7681,-,JDG knight,BLG Bin,-,-,-,-,-
1255590,2677230,5602,13936,-,JDG knight,BLG Bin,JDG MISSING,JDG Kanavi,-,-,-
1390957,2677230,14062,7338,-,JDG Ruler,BLG Bin,JDG MISSING,JDG knight,JDG 369,-,-
1392641,2677230,13404,6909,-,JDG knight,BLG XUN,JDG Ruler,JDG MISSING,JDG 369,-,-
1394039,2677230,13702,7356,-,JDG Ruler,BLG Yagao,JDG MISSING,JDG knight,-,-,-
627453,2677232,1945,11787,firstBlood,JDG 369,BLG Bin,JDG Kanavi,-,-,-,-
753903,2677232,10282,4663,-,JDG knight,BLG Yagao,JDG Ruler,JDG MISSING,JDG Kanavi,-,-
756134,2677232,11148,5748,-,JDG Ruler,BLG XUN,JDG MISSING,JDG knight,JDG Kanavi,-,-
760781,2677232,11330,5154,-,JDG Kanavi,BLG Elk,JDG Ruler,JDG MISSING,JDG knight,-,-
860793,2677232,10354,3053,-,JDG Kanavi,BLG XUN,JDG MISSING,JDG knight,-,-,-
1050827,2677232,9177,5853,-,JDG knight,BLG XUN,JDG MISSING,JDG 369,-,-,-
1055235,2677232,8716,5400,-,JDG knight,BLG Yagao,JDG MISSING,JDG Kanavi,JDG 369,-,-
1133975,2677232,2590,13593,-,BLG XUN,JDG knight,BLG Yagao,-,-,-,-
1160555,2677232,13809,3127,-,JDG Kanavi,BLG Bin,JDG 369,-,-,-,-
1190059,2677232,3756,12930,-,JDG knight,BLG XUN,-,-,-,-,-
1194472,2677232,4205,11885,-,JDG knight,BLG Yagao,-,-,-,-,-
1310815,2677232,4150,3047,-,JDG Ruler,BLG XUN,JDG MISSING,JDG knight,JDG Kanavi,-,-
